filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2017-02-23T00:00:00Z,446,687,32135,241,0.007499611,0.021378559,0.013878948,2017,FISV
2018-02-22T00:00:00Z,457,762,34247,305,0.00890589,0.022250124,0.013344235,2018,FISV
2019-02-21T00:00:00Z,670,1069,47726,399,0.008360223,0.022398693,0.01403847,2019,FISV
2002-03-15T00:00:00Z,379,648,30149,269,0.008922352,0.02149325,0.012570898,2002,CF
2003-03-14T00:00:00Z,439,771,35324,332,0.009398709,0.02182652,0.012427811,2003,CF
2004-03-12T00:00:00Z,409,660,32611,251,0.007696789,0.02023857,0.01254178,2004,CF
2011-02-25T00:00:00Z,1237,1377,71788,140,0.001950187,0.019181479,0.017231292,2011,BKNG
2012-02-27T00:00:00Z,1108,1381,67847,273,0.004023759,0.020354621,0.016330862,2012,BKNG
2013-02-27T00:00:00Z,1226,1539,73171,313,0.004277651,0.021032923,0.016755272,2013,BKNG
2014-02-20T00:00:00Z,1283,1740,76893,457,0.005943324,0.022628848,0.016685524,2014,BKNG
2015-02-19T00:00:00Z,1358,1559,76513,201,0.002627005,0.020375622,0.017748618,2015,BKNG
2016-02-17T00:00:00Z,1376,1536,76715,160,0.002085642,0.02002216,0.017936518,2016,BKNG
2017-02-27T00:00:00Z,1248,1421,71977,173,0.002403546,0.019742418,0.017338872,2017,BKNG
2018-02-27T00:00:00Z,1287,1545,76902,258,0.003354919,0.020090505,0.016735586,2018,BKNG
2019-02-27T00:00:00Z,1216,1458,74443,242,0.003250809,0.019585455,0.016334645,2019,BKNG
2015-02-20T00:00:00Z,1271,1233,62738,-38,-0.000605694,0.019653161,0.020258854,2015,BNK
2016-02-19T00:00:00Z,1450,1541,77961,91,0.00116725,0.019766293,0.018599043,2016,BNK
2010-02-22T00:00:00Z,491,829,37750,338,0.008953642,0.021960265,0.013006623,2010,CERN
2011-02-16T00:00:00Z,524,917,37471,393,0.010488111,0.024472259,0.013984148,2011,CERN
2012-02-15T00:00:00Z,504,857,36650,353,0.009631651,0.023383356,0.013751705,2012,CERN
2013-02-08T00:00:00Z,553,868,37659,315,0.008364534,0.023048939,0.014684405,2013,CERN
2014-02-05T00:00:00Z,582,871,38431,289,0.007519971,0.022663995,0.015144024,2014,CERN
2015-02-11T00:00:00Z,604,880,39596,276,0.006970401,0.022224467,0.015254066,2015,CERN
2016-02-17T00:00:00Z,639,971,43287,332,0.007669739,0.022431677,0.014761938,2016,CERN
2017-02-10T00:00:00Z,655,1003,44449,348,0.007829198,0.022565187,0.01473599,2017,CERN
2018-02-12T00:00:00Z,682,1057,45188,375,0.008298663,0.023391166,0.015092502,2018,CERN
2019-02-08T00:00:00Z,716,1044,43962,328,0.007460989,0.023747782,0.016286793,2019,CERN
2010-02-26T00:00:00Z,1315,1984,84325,669,0.00793359,0.023528017,0.015594426,2010,KO
2011-02-28T00:00:00Z,1542,2398,104949,856,0.008156343,0.022849193,0.014692851,2011,KO
2012-02-23T00:00:00Z,1519,2455,105899,936,0.00883861,0.023182466,0.014343856,2012,KO
2013-02-27T00:00:00Z,1602,2555,111803,953,0.008523922,0.022852696,0.014328775,2013,KO
2014-02-27T00:00:00Z,1463,2339,98442,876,0.008898641,0.023760184,0.014861543,2014,KO
2015-02-25T00:00:00Z,1493,2238,97894,745,0.007610272,0.022861462,0.01525119,2015,KO
2016-02-25T00:00:00Z,1591,2299,105646,708,0.006701626,0.021761354,0.015059728,2016,KO
2017-02-24T00:00:00Z,1562,2292,106034,730,0.006884584,0.021615708,0.014731124,2017,KO
2018-02-23T00:00:00Z,1618,2319,104841,701,0.006686315,0.022119209,0.015432894,2018,KO
2019-02-21T00:00:00Z,1713,2398,106666,685,0.006421915,0.022481391,0.016059475,2019,KO
2011-02-24T00:00:00Z,1123,1452,67354,329,0.004884639,0.02155774,0.0166731,2011,CDN
2012-02-24T00:00:00Z,917,1211,57863,294,0.005080967,0.020928745,0.015847778,2012,CDN
2013-02-21T00:00:00Z,828,1224,56729,396,0.006980557,0.021576266,0.014595709,2013,CDN
2014-02-20T00:00:00Z,779,1170,53356,391,0.007328136,0.021928181,0.014600045,2014,CDN
2015-02-20T00:00:00Z,783,1127,51238,344,0.006713767,0.021995394,0.015281627,2015,CDN
2016-02-18T00:00:00Z,722,1029,46897,307,0.006546261,0.021941702,0.015395441,2016,CDN
2017-02-10T00:00:00Z,690,1066,48366,376,0.007774056,0.022040276,0.01426622,2017,CDN
2018-02-20T00:00:00Z,704,1071,50001,367,0.007339853,0.021419572,0.014079718,2018,CDN
2019-02-27T00:00:00Z,723,1052,48723,329,0.006752458,0.021591446,0.014838988,2019,CDN
2011-02-24T00:00:00Z,1123,1452,67354,329,0.004884639,0.02155774,0.0166731,2011,CDNS
2012-02-24T00:00:00Z,917,1211,57863,294,0.005080967,0.020928745,0.015847778,2012,CDNS
2013-02-21T00:00:00Z,828,1224,56729,396,0.006980557,0.021576266,0.014595709,2013,CDNS
2014-02-20T00:00:00Z,779,1170,53356,391,0.007328136,0.021928181,0.014600045,2014,CDNS
2015-02-20T00:00:00Z,783,1127,51238,344,0.006713767,0.021995394,0.015281627,2015,CDNS
2016-02-18T00:00:00Z,722,1029,46897,307,0.006546261,0.021941702,0.015395441,2016,CDNS
2017-02-10T00:00:00Z,690,1066,48366,376,0.007774056,0.022040276,0.01426622,2017,CDNS
2018-02-20T00:00:00Z,704,1071,50001,367,0.007339853,0.021419572,0.014079718,2018,CDNS
2019-02-27T00:00:00Z,723,1052,48723,329,0.006752458,0.021591446,0.014838988,2019,CDNS
2010-02-22T00:00:00Z,910,1357,77157,447,0.005793382,0.017587516,0.011794134,2010,ED
2011-02-22T00:00:00Z,886,1364,77830,478,0.006141591,0.017525376,0.011383785,2011,ED
2012-02-21T00:00:00Z,863,1326,75947,463,0.006096357,0.017459544,0.011363187,2012,ED
2013-02-21T00:00:00Z,883,1313,78343,430,0.005488684,0.016759634,0.01127095,2013,ED
2014-02-21T00:00:00Z,909,1369,80826,460,0.005691238,0.016937619,0.011246381,2014,ED
2015-02-19T00:00:00Z,910,1355,78307,445,0.005682761,0.017303689,0.011620928,2015,ED
2016-02-18T00:00:00Z,928,1351,75812,423,0.005579592,0.017820398,0.012240806,2016,ED
2017-02-16T00:00:00Z,931,1440,78287,509,0.006501718,0.018393858,0.01189214,2017,ED
2018-02-15T00:00:00Z,941,1483,82772,542,0.006548108,0.017916687,0.011368579,2018,ED
2019-02-21T00:00:00Z,1084,1587,91079,503,0.005522678,0.017424434,0.011901756,2019,ED
2010-02-22T00:00:00Z,491,829,37750,338,0.008953642,0.021960265,0.013006623,2010,CELG
2011-02-16T00:00:00Z,524,917,37471,393,0.010488111,0.024472259,0.013984148,2011,CELG
2012-02-15T00:00:00Z,504,857,36650,353,0.009631651,0.023383356,0.013751705,2012,CELG
2013-02-08T00:00:00Z,553,868,37659,315,0.008364534,0.023048939,0.014684405,2013,CELG
2014-02-05T00:00:00Z,582,871,38431,289,0.007519971,0.022663995,0.015144024,2014,CELG
2015-02-11T00:00:00Z,604,880,39596,276,0.006970401,0.022224467,0.015254066,2015,CELG
2016-02-17T00:00:00Z,639,971,43287,332,0.007669739,0.022431677,0.014761938,2016,CELG
2017-02-10T00:00:00Z,655,1003,44449,348,0.007829198,0.022565187,0.01473599,2017,CELG
2018-02-12T00:00:00Z,682,1057,45188,375,0.008298663,0.023391166,0.015092502,2018,CELG
2019-02-08T00:00:00Z,716,1044,43962,328,0.007460989,0.023747782,0.016286793,2019,CELG
2010-02-22T00:00:00Z,613,1208,45609,595,0.013045671,0.026486001,0.01344033,2010,XRAY
2011-02-18T00:00:00Z,646,1220,46119,574,0.012446063,0.026453306,0.014007242,2011,XRAY
2012-02-24T00:00:00Z,750,1315,52513,565,0.010759241,0.025041418,0.014282178,2012,XRAY
2013-02-20T00:00:00Z,679,1292,48860,613,0.01254605,0.026442898,0.013896848,2013,XRAY
2014-02-20T00:00:00Z,754,1363,51746,609,0.011769026,0.0263402,0.014571175,2014,XRAY
2015-02-20T00:00:00Z,773,1401,52749,628,0.011905439,0.026559745,0.014654306,2015,XRAY
2016-02-12T00:00:00Z,868,1524,58392,656,0.011234416,0.026099466,0.01486505,2016,XRAY
2017-03-01T00:00:00Z,954,1750,66642,796,0.011944419,0.026259716,0.014315297,2017,XRAY
2018-03-15T00:00:00Z,1105,1900,73092,795,0.010876703,0.025994637,0.015117934,2018,XRAY
