filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2017-01-20T00:00:00Z,1146,1570,60769,424,0.006977242,0.025835541,0.018858299,2017,ADBE
2018-01-22T00:00:00Z,1131,1479,58552,348,0.005943435,0.025259598,0.019316163,2018,ADBE
2019-01-25T00:00:00Z,1229,1564,61233,335,0.005470906,0.025541783,0.020070877,2019,ADBE
2010-02-19T00:00:00Z,1298,1871,84402,573,0.006788939,0.022167721,0.015378782,2010,AMD
2011-02-18T00:00:00Z,1220,1719,79887,499,0.006246323,0.021517894,0.015271571,2011,AMD
2012-02-24T00:00:00Z,1079,1659,72759,580,0.007971522,0.022801303,0.014829781,2012,AMD
2013-02-21T00:00:00Z,1085,1482,65998,397,0.006015334,0.022455226,0.016439892,2013,AMD
2014-02-18T00:00:00Z,1118,1406,64067,288,0.004495294,0.021945776,0.017450482,2014,AMD
2015-02-19T00:00:00Z,1154,1483,66602,329,0.004939792,0.022266599,0.017326807,2015,AMD
2016-02-18T00:00:00Z,1207,1566,67091,359,0.005350941,0.023341432,0.017990491,2016,AMD
2017-02-21T00:00:00Z,1234,1598,72203,364,0.005041342,0.022132044,0.017090703,2017,AMD
2018-02-27T00:00:00Z,1314,1631,75965,317,0.004172974,0.021470414,0.01729744,2018,AMD
2019-02-08T00:00:00Z,1264,1401,66615,137,0.002056594,0.021031299,0.018974705,2019,AMD
2010-03-02T00:00:00Z,605,1015,47215,410,0.008683681,0.021497405,0.012813724,2010,AAP
2011-03-01T00:00:00Z,565,912,44321,347,0.007829246,0.020577153,0.012747907,2011,AAP
2012-02-28T00:00:00Z,542,897,43109,355,0.008234939,0.02080772,0.012572781,2012,AAP
2013-02-25T00:00:00Z,604,884,44193,280,0.006335845,0.020003168,0.013667323,2013,AAP
2014-02-25T00:00:00Z,654,932,47788,278,0.00581736,0.019502804,0.013685444,2014,AAP
2015-03-03T00:00:00Z,651,950,47854,299,0.006248172,0.01985205,0.013603878,2015,AAP
2016-03-01T00:00:00Z,673,967,48567,294,0.006053493,0.019910639,0.013857146,2016,AAP
2017-02-28T00:00:00Z,623,978,47731,355,0.007437514,0.020489828,0.013052314,2017,AAP
2018-02-21T00:00:00Z,442,711,34407,269,0.007818177,0.0206644,0.012846223,2018,AAP
2019-02-19T00:00:00Z,455,719,34086,264,0.007745115,0.021093704,0.013348589,2019,AAP
2010-02-26T00:00:00Z,2593,2976,151041,383,0.002535735,0.019703259,0.017167524,2010,AES
2011-02-28T00:00:00Z,2833,3168,165998,335,0.002018097,0.019084567,0.017066471,2011,AES
2012-02-27T00:00:00Z,2573,2880,157666,307,0.001947154,0.018266462,0.016319308,2012,AES
2013-02-27T00:00:00Z,2319,2561,137747,242,0.001756844,0.018592056,0.016835212,2013,AES
